"sku","old_stock","new_stock","diff"
"703556204822","51","50","-1"
"705016358205","208","207","-1"
"713101732045","46","44","-2"
"745560722015","40","38","-2"
"745560722138","246","245","-1"
"745560722145","323","322","-1"
"748927023848","388","386","-2"
"748927060607","184","181","-3"
"748927060614","550","535","-15"
"748927062731","471","469","-2"
"748927063486","684","683","-1"
"748927066586","501","497","-4"
"748927069815","111","112","1"
"817189022743","6","5","-1"
"817189024617","6","5","-1"
"817189029032","95","93","-2"
"842595131291","3290","3278","-12"
"850026029925","400","398","-2"
"850044753857","78","74","-4"
"853237000745","2007","1993","-14"
"853237000769","4","3","-1"
"891597004034","796","795","-1"
