id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,aplicado
13391,0,simple,810014679570,YOHIMBINE120 CAPSULAS,82,82,instock,instock,True,no_omitido
20477,20464,variation,842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,66,66,instock,instock,True,no_omitido
19411,19402,variation,810121053553,EVP XTREME N.O. STRAWERRY LEMONADE-EVOGEN,4,4,outofstock,instock,True,si
18978,18977,variation,850044753833,PROTEINA DE 4.8 LB COOKIE & CREAM PRIMEVAL LABS,67,67,instock,instock,True,no_omitido
18939,18933,variation,7503013595868,WHEY PRO DUT CHOCOLATE 2 LBS,6,6,outofstock,instock,True,si
19309,19304,variation,810121053980,EVP 3D POLAR CHRRY FROST- EVOGEN,10,10,instock,instock,True,no_omitido
19854,19843,variation,748927026672,AMINO ENERGY WATERMELON 270 G,150,150,instock,instock,True,no_omitido
18929,18927,variation,7503029522926,LEAN GAINER 8 LBS DUTCH CHOCOLATE,0,0,outofstock,outofstock,True,si
19085,19081,variation,748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,174,154,instock,instock,True,si
19793,19790,variation,859400007580,ISOFIT CHOCOLATE SHAKE 70 SERV 5 LBS NUTREX,2,2,outofstock,instock,True,si
19317,19304,variation,817189027762,EVP 3D SOUR CANDY- EVOGEN,11,11,instock,instock,True,no_omitido
18863,18861,variation,713101732137,ULTRA VEGANA STRAWERRY ICE CREAM 3 LBS IMPULSE,14,14,instock,instock,True,no_omitido
13382,0,simple,810139574149,NAC DE 600 MG 30 CAPSULAS,27,27,instock,instock,True,no_omitido
19047,19043,variation,850016779359,BROWNIE +COLLAGEN BIRTHDAY CAKE BLONDIE,110,110,instock,instock,True,no_omitido
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÃCIDO HIALURONICO â SABOR NARANJA â 30 SERV â LANDERFIT,110,110,instock,instock,True,no_omitido
19227,19225,variation,705016353231,ISO 100 FUDGE BROWNIE 3 LIBRAS DYMATIZE,10,10,instock,instock,True,no_omitido
19032,19029,variation,850039445798,CBUM PROTEINA 2 LBS ITOLATE BIRTHAY CAKE,16,16,instock,instock,True,no_omitido
8556,0,simple,631656603118,TETOSTERONA BUSTER SIX STAR MUSCLETECH,14,14,instock,instock,True,no_omitido
