sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,cambiara
748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,variation,50,instock,50,instock,0,no
817189029100,EVP 3D SMASHIN PASSION ORANGE-EVOGEN,variation,9,instock,9,instock,0,no
850030689016,ASHWAGANDHA KSM-66 REVIVE,simple,21,instock,21,instock,0,no
7503018110479,WHEY PROTEIN 5 LBS CHOCO COCO,variation,16,instock,17,instock,1,SI
850039445798,CBUM PROTEINA 2 LBS  ITOLATE BIRTHAY CAKE,variation,16,instock,16,instock,0,no
817189020176,GLYCOJET WATERMELON,variation,8,instock,8,instock,0,no
748927066593,PROTEIN SHAKE CHOCOLATE 325 ML OPTIMUN NUTRICION,variation,125,instock,123,instock,-2,SI
650076635264,VMS-PROTEIN ISOLATE- HIDROLIZED BIO-ACTIVE- CHOCOLATE5 LBS,variation,68,instock,65,instock,-3,SI
850016779359,BROWNIE +COLLAGEN BIRTHDAY CAKE BLONDIE,variation,109,instock,109,instock,0,no
812590416028,MELATONINA 5 MG 120 CAPSULAS- LANDERFIT,simple,21,instock,20,instock,-1,SI
810121056660,ISOJECT CHOCOLATE - 25 SRV EVOGEN,variation,3,instock,1,outofstock,-2,SI
748927028652,GOLD STANDAR WHEY VAINILLA ICE CREAN 1.98 LBS,variation,26,instock,27,instock,1,SI
853237000738,PROTEINA ISOFIT COOKIES &CREAM 30 SERV. NUTREX,variation,19,instock,19,instock,0,no
612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,simple,116,instock,116,instock,0,no
799142775395,MUSCLE PUMP FRUIT PUNCH 30 SERV LANDERFIT,simple,6,instock,4,outofstock,-2,SI
817189028981,ISOJECT DE 4 LBS CHOCOLATE EVOGEN,variation,1,instock,1,outofstock,0,SI
812135021665,XTEND ORIGINAL 90 SERV. ITALIAN BLOOD ORANGE,variation,14,instock,14,instock,0,no
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,variation,46,instock,43,instock,-3,SI
7503029522926,LEAN GAINER 8 LBS DUTCH CHOCOLATE,variation,0,outofstock,0,outofstock,0,no
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,variation,62,instock,62,instock,0,no
817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,variation,4,instock,3,outofstock,-1,SI
810121057254,EVP XTREME N.O CITRUS CANDY-EVOGEN,variation,4,instock,4,outofstock,0,SI
748927023374,AMINO ENERGY FRUIT FUSION 585G,variation,106,instock,106,instock,0,no
850049150651,INT-WHEY-BLEND-COOKIES-CREAM-F L - 5LB (PROTEINA BLEND),variation,4,instock,4,outofstock,0,SI
713101732113,ULTRA VEGANA VAINILLA 3 LBS IMPULSE,variation,30,instock,30,instock,0,no
810121052105,ISOJECT FRUITYCREREAL 1.83 LBS ISOJET EVOGEN,variation,15,instock,15,instock,0,no
748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,variation,466,instock,466,instock,0,no
