id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,tipo_cambio
108,0,simple,745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",35,34,instock,instock,True,stock+/-
20388,19205,variation,705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,201,199,instock,instock,True,stock+/-
19072,19071,variation,748927066593,PROTEIN SHAKE CHOCOLATE 325 ML OPTIMUN NUTRICION,120,118,instock,instock,True,stock+/-
19838,19835,variation,748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,48,47,instock,instock,True,stock+/-
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,309,308,instock,instock,True,stock+/-
19062,19061,variation,65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,36,35,instock,instock,True,stock+/-
13383,0,simple,810014674001,R-ALPHA LIPOIC ACID 100 MG 120 CAPSULAS,12,11,instock,instock,True,stock+/-
8556,0,simple,631656603118,TETOSTERONA BUSTER SIX STAR MUSCLETECH,13,11,instock,instock,True,stock+/-
19802,19800,variation,850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,25,24,instock,instock,True,stock+/-
13114,0,simple,850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,414,413,instock,instock,True,stock+/-
19084,19081,variation,748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,478,476,instock,instock,True,stock+/-
8690,0,simple,853237000202,NUTREX LIPO-6 CLA 45CT NUTREX,4,3,outofstock,instock,True,stock+/-
11830,0,simple,748927023848,CREATINA ON POWDER MICRONISADA,392,390,instock,instock,True,stock+/-
20409,11808,variation,891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),820,819,instock,instock,True,stock+/-
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1973,1965,instock,instock,True,stock+/-
19010,19008,variation,612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,41,40,instock,instock,True,stock+/-
19088,19081,variation,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,592,590,instock,instock,True,stock+/-
11831,0,simple,666222007984,ACTIVE TIME RELEASED SPORT (MHP),11,10,instock,instock,True,stock+/-
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,3108,3105,instock,instock,True,stock+/-
20449,20442,variation,842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,61,60,instock,instock,True,stock+/-
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,648,647,instock,instock,True,stock+/-
