id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage
19063,19061,variation,650076635264,VMS-PROTEIN ISOLATE- HIDROLIZED BIO-ACTIVE- CHOCOLATE5 LBS,64,64,instock,instock,True
18934,18932,variation,7503013595776,WHEY PROTEIN 5 LBS DUTCH CHOCOLATE,12,12,instock,instock,True
13393,0,simple,811445020405,ZMA PRIMA FORCE ABOLIC MINERAL SUPORT 180 CAPSULAS,4,4,outofstock,instock,True
140,0,simple,811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,109,109,instock,instock,True
19262,19253,variation,817189024532,AMINO K.E.M SOUR WATERMELON- EVOGEN,8,8,instock,instock,True
11236,0,simple,850030689214,MULTI VITAMIN REVIVE,9,9,instock,instock,True
18961,18960,variation,631656259957,MAS TECH EXTREME 2000- VAINILLA MILK SHAKE 12 LIBRAS,2,2,outofstock,instock,True
19756,19744,variation,810121056455,ISOJECT MINI CRISPY COOKIES 1.87 LBS EVOGEN,3,3,outofstock,instock,True
19413,19402,variation,817189028530,EVP XTREMEN.O. SOUR CANDY-EVOGEN,2,2,outofstock,instock,True
19024,19004,variation,850049150446,INT-CBUM-ITHOLATE-VANILLA-FL - 5LB (ISOLATADA),1,1,outofstock,instock,True
19760,19744,variation,810121056738,ISOJECT TIRAMISU 1.76 LBS ISOJET EVOGEN,2,2,outofstock,instock,True
19186,19183,variation,705016353170,ISO 100 STRAWERRY 5 LBS DYMATIZE,0,0,outofstock,outofstock,True
18855,18854,variation,713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,42,42,instock,instock,True
19750,19744,variation,810121056417,ISOJECT CHOCOLATE PEANUTBUTTER BANANA 1.76 LBS ISOJET EVOGEN,3,3,outofstock,instock,True
20466,20464,variation,842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,79,79,instock,instock,True
13154,0,simple,7500634000528,CREATINAMONOHIDRATADA 72 SERVING,55,55,instock,instock,True
19406,19402,variation,810121057940,EVP XTREME N.O. JUCY GRAPPE-EVOGEN,5,5,outofstock,instock,True
19876,19871,variation,748927055351,AMINO ENERGY GREEN APPLE 585G,3,3,outofstock,instock,True
20475,20464,variation,842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,244,244,instock,instock,True
19237,19235,variation,817189028981,ISOJECT DE 4 LBS CHOCOLATE EVOGEN,1,1,outofstock,instock,True
19792,19790,variation,853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,3,3,outofstock,instock,True
19849,19843,variation,748927062113,AMINO ENERGY BLUEBERRY LIMON 270 G,5,5,outofstock,instock,True
18912,18910,variation,181030000144,XTEND ORIGINAL 90 SERV. SMASH APPLE,16,16,instock,instock,True
94,0,simple,745560722213,THERMOBLAST H2 (FAT BURNER) 120 CAPS (QUEMADOR MUJER) IMPULSE,5,5,outofstock,instock,True
18856,18854,variation,713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,53,53,instock,instock,True
18862,18861,variation,713101732113,ULTRA VEGANA VAINILLA 3 LBS IMPULSE,29,29,instock,instock,True
19754,19744,variation,817189029087,ISOJECT CINAMON CRUNCH 1.77 EVOGEN,3,3,outofstock,instock,True
20431,20430,variation,842595106619,C4 PERFORMANCE ENERGY 16OZ ARCTIC SNOW CONE,55,55,instock,instock,True
20473,20464,variation,842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,83,83,instock,instock,True
