id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,tipo_cambio
11165,0,simple,829263000189,COLLAGENO ENERGIZADO PEPTIDES AMPD BERRY - MUSCLEOLOGY,3,3,outofstock,instock,True,solo_status
18875,18869,variation,703556204730,L CARNITINA 3500 RED & GREEN IMPULSE,6,6,outofstock,instock,True,solo_status
19345,19342,variation,810121055274,EVP XTREME VICTORY PUNCH EVOGEN,1,1,outofstock,instock,True,solo_status
8690,0,simple,853237000202,NUTREX LIPO-6 CLA 45CT NUTREX,3,3,outofstock,instock,True,solo_status
18857,18854,variation,713101732014,PROLIVE BIO6 COCONUT 6 LBS IMPULSE,2,2,outofstock,instock,True,solo_status
19033,19029,variation,860007286919,PROTEINA ISOLATADA DE 2 LBS CINNAMON  CRUNCH CEREAL,6,6,outofstock,instock,True,solo_status
19848,19843,variation,748927069068,AMINO ENERGY TROPICAL SUNRISE 270 G,2,2,outofstock,instock,True,solo_status
19366,19364,variation,810121055328,EVP-AQ TROPIC THUNDER- EVOGEN,1,1,outofstock,instock,True,solo_status
18953,18946,variation,829263000028,NITRO UP BLEND 5 LBS - COOKIES & CREAM - MUSCLEOLOGY,6,6,outofstock,instock,True,solo_status
19243,19242,variation,817189022750,EVOFUSION VANILLA BEAN ICE CREAM 4.6 LBS EVOGEN,1,1,outofstock,instock,True,solo_status
19011,19008,variation,612590415845,"PREMIUM WHEY STRAWBERRY 2,06 LBS-LANDERFIT",1,1,outofstock,instock,True,solo_status
19749,19744,variation,810121056660,ISOJECT CHOCOLATE - 25 SRV EVOGEN,1,1,outofstock,instock,True,solo_status
19758,19744,variation,810121056707,ISOJECT OATMEAL COOKIE 1.76 LBS ISOJET EVOGEN,2,2,outofstock,instock,True,solo_status
94,0,simple,745560722213,THERMOBLAST H2 (FAT BURNER) 120 CAPS (QUEMADOR MUJER) IMPULSE,5,5,outofstock,instock,True,solo_status
18873,18869,variation,745560722030,L- CARNITINA 3500 PIÑA COLADA IMPULSE,1,1,outofstock,instock,True,solo_status
19876,19871,variation,748927055351,AMINO ENERGY GREEN APPLE 585G,3,3,outofstock,instock,True,solo_status
19793,19790,variation,859400007580,ISOFIT CHOCOLATE SHAKE 70 SERV 5 LBS NUTREX,2,2,outofstock,instock,True,solo_status
19754,19744,variation,817189029087,ISOJECT CINAMON CRUNCH 1.77 EVOGEN,3,3,outofstock,instock,True,solo_status
18939,18933,variation,7503013595868,WHEY PRO DUT CHOCOLATE 2 LBS,6,6,outofstock,instock,True,solo_status
13393,0,simple,811445020405,ZMA PRIMA FORCE ABOLIC MINERAL SUPORT 180 CAPSULAS,4,4,outofstock,instock,True,solo_status
19188,19183,variation,705016353446,ISO 100 COCOA PEBBLES 5 LBS DYMATIZE,5,5,outofstock,instock,True,solo_status
9152,0,simple,612590416606,PROTEINA WOMENS CHOCOLATE BROWNIE 2.04 LBS LANDERFIT,1,1,outofstock,instock,True,solo_status
19206,19205,variation,75016600694,ISO 100 DUNKIN GLAZED DONUT1.34 LBS DYMATIZE,2,2,outofstock,instock,True,solo_status
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,467,465,instock,instock,True,stock+/-
13373,0,simple,810014671659,COQ10 60 CAPSULAS,1,1,outofstock,instock,True,solo_status
8901,0,simple,850049150262,ESSENTIAL-BURNER (QUEMADOR DE GRASA),6,6,outofstock,instock,True,solo_status
13380,0,simple,810014679426,MULTIVITAMINAS 120 CAPSULAS,3,3,outofstock,instock,True,solo_status
19414,19402,variation,817189024587,EVPXTREME SOUR WATERMELON,3,3,outofstock,instock,True,solo_status
9546,0,simple,850046504723,"TRIBULUS 1400, 90 CAPSULAS NUTREX",2,2,outofstock,instock,True,solo_status
19757,19744,variation,810121056721,ISOJECT ICE CREAM SANDWICH 1.82 LBS ISOJET EVOGEN,4,4,outofstock,instock,True,solo_status
19782,19778,variation,859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,14,13,instock,instock,True,stock+/-
19236,19235,variation,817189028998,ISOJECT COOKIE AND CREAM 4 LBS EVOGEN,3,3,outofstock,instock,True,solo_status
19023,19004,variation,850057175356,CBUM-ITHOLATE-PROTEIN-VANILLA-OA TMEAL COOKIE - 5LB (ISOLATADA),3,3,outofstock,instock,True,solo_status
11192,0,simple,829263000240,BCCA SUPER 8 MARACUYA 30 SERV - MUSCLEOLOGY,2,2,outofstock,instock,True,solo_status
19261,19253,variation,817189028264,AMINO K.E.M BLUEBERRY APPLE-EVOGEN,5,5,outofstock,instock,True,solo_status
19227,19225,variation,705016353231,ISO 100 FUDGE BROWNIE 3 LIBRAS DYMATIZE,6,6,outofstock,instock,True,solo_status
19034,19029,variation,850049150392,CBUM ITOLATE PROTEIN 2 LBS STRAWERRY BUN CAKE,4,4,outofstock,instock,True,solo_status
19408,19402,variation,810121053966,EVP XTREME PEACH RINGS,2,2,outofstock,instock,True,solo_status
19850,19843,variation,748927063646,AMINO ENERGY WILD BERRY 270 G,1,1,outofstock,instock,True,solo_status
19792,19790,variation,853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,3,3,outofstock,instock,True,solo_status
21121,21118,variation,703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,5,5,outofstock,instock,True,solo_status
19781,19778,variation,859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,5,5,outofstock,instock,True,solo_status
19294,19289,variation,817189020206,GLYCOJECT DE 2LB WILD BERRY EVOGEN,6,6,outofstock,instock,True,solo_status
18865,18861,variation,713101732144,VEGANA ULTRA DE COCO 3 LBS IMPULSE,5,5,outofstock,instock,True,solo_status
19257,19253,variation,810121054857,AMINO K.E.M VICTORY PUNCHS- EVOGEN,3,3,outofstock,instock,True,solo_status
13372,0,simple,810014673165,CHROMIO PICOLINATE 10000 MG 240 CAPSULAS,4,4,outofstock,instock,True,solo_status
9203,0,simple,799142775395,MUSCLE PUMP FRUIT PUNCH 30 SERV LANDERFIT,4,4,outofstock,instock,True,solo_status
21119,21118,variation,608631655288,AMINO ESENCIAL 52 SERVIN 20 GRAMOS PINK LEMONADE IMPULSE,2,2,outofstock,instock,True,solo_status
19755,19744,variation,810121056714,ISOJECT CHURRO 1.71 LBS ISOJET EVOGEN,2,2,outofstock,instock,True,solo_status
19412,19402,variation,817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,3,3,outofstock,instock,True,solo_status
19258,19253,variation,810121055755,AMINO K.E.N CRAN BERRY POMEGRANATE- EVOGEN,3,3,outofstock,instock,True,solo_status
19406,19402,variation,810121057940,EVP XTREME N.O. JUCY GRAPPE-EVOGEN,5,5,outofstock,instock,True,solo_status
19416,19402,variation,810121058695,EVP XTREME PATRIOT POP,3,3,outofstock,instock,True,solo_status
19407,19402,variation,810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,3,3,outofstock,instock,True,solo_status
19256,19253,variation,810121057988,AMINO K.E.M JUICY GRAPE-EVOGEN,4,4,outofstock,instock,True,solo_status
19245,19242,variation,817189022743,EVOFUSION CHOCOLATE SHAKE 4.6 LBS EVOGEN,3,3,outofstock,instock,True,solo_status
19959,9171,variation,799142775005,AMINO REVOLUTION + ELECTROLITROS COCONUT 30 SERVI-LANDERFIT,3,3,outofstock,instock,True,solo_status
18942,18941,variation,7503018110578,LEAN GAINER 12 LIBRAS DUTCH CHOCOLATE,3,3,outofstock,instock,True,solo_status
19405,19402,variation,810121057254,EVP XTREME N.O CITRUS CANDY-EVOGEN,4,4,outofstock,instock,True,solo_status
19827,19826,variation,748927060133,GOLD STANDAR WHEY VAINILLA ICE CREAM 1.5 LBS 22 SERVING,4,4,outofstock,instock,True,solo_status
19316,19304,variation,817189025386,EVP 3D SOUR WATERMELON- EVOGEN,6,6,outofstock,instock,True,solo_status
18928,18927,variation,7500634002065,LEAN GAINER 8 LIBRAS VAINILLA,2,2,outofstock,instock,True,solo_status
19123,19121,variation,850049150651,INT-WHEY-BLEND-COOKIES-CREAM-F L - 5LB (PROTEINA BLEND),4,4,outofstock,instock,True,solo_status
19263,19253,variation,810121058978,AMINO K.E.M BLACK BERRY LEMONADE- EVOGEN,6,6,outofstock,instock,True,solo_status
19828,19826,variation,748927060140,GOLD STANDAR WHEY DOBLE RICH 1.47 LBS 22 SERVING,1,1,outofstock,instock,True,solo_status
19310,19304,variation,810121053997,EVP 3D VICTORY PUNCH- EVOGEN,5,5,outofstock,instock,True,solo_status
19024,19004,variation,850049150446,INT-CBUM-ITHOLATE-VANILLA-FL - 5LB (ISOLATADA),1,1,outofstock,instock,True,solo_status
19849,19843,variation,748927062113,AMINO ENERGY BLUEBERRY LIMON 270 G,5,5,outofstock,instock,True,solo_status
19318,19304,variation,817189024600,EVP-3D TROPIC THUNDER-EVOGEN,4,4,outofstock,instock,True,solo_status
19750,19744,variation,810121056417,ISOJECT CHOCOLATE PEANUTBUTTER BANANA 1.76 LBS ISOJET EVOGEN,3,3,outofstock,instock,True,solo_status
19308,19304,variation,810121057971,EVP 3D CITRUS CANDY- EVOGEN,6,6,outofstock,instock,True,solo_status
14440,0,simple,612590416200,ULTRA GLUTAMINA 60 SERVING- LANDERFIT,6,6,outofstock,instock,True,solo_status
19413,19402,variation,817189028530,EVP XTREMEN.O. SOUR CANDY-EVOGEN,2,2,outofstock,instock,True,solo_status
19432,19430,variation,810121058015,CELL K.E.M PEACH RING,3,3,outofstock,instock,True,solo_status
93,0,simple,745560722206,THERMOBLAST M5 (FAT BURNER) 120 CAPS (QUEMADOR HOMBRE) IMPULSE,3,3,outofstock,instock,True,solo_status
19312,19304,variation,817189024617,EVP 3D PEACH RINGS-EVOGEN,4,4,outofstock,instock,True,solo_status
19411,19402,variation,810121053553,EVP XTREME N.O. STRAWERRY LEMONADE-EVOGEN,2,2,outofstock,instock,True,solo_status
18919,18917,variation,842595106084,C4 ORIGINAL ICE BLUE RAZZ 60 SERV (PRE-WORK) CELLUCOR,1,1,outofstock,instock,True,solo_status
19759,19744,variation,810121056684,ISOJECT VAINILLA COLD BREW COOFFE 1.76 LBSEVOGEN,1,1,outofstock,instock,True,solo_status
19210,19205,variation,705016600366,ISO 100 BIRTHDAY CAKE PEBBLES 1.34 LBS DYMATIZE,2,2,outofstock,instock,True,solo_status
18961,18960,variation,631656259957,MAS TECH EXTREME 2000- VAINILLA MILK SHAKE 12 LIBRAS,2,2,outofstock,instock,True,solo_status
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,3101,3099,instock,instock,True,stock+/-
12945,0,simple,745560721971,RAPTOR X5 FRUIT PUNCH IMPULSE,4,4,outofstock,instock,True,solo_status
19192,19183,variation,705016353187,PROTEINA ISO 100 GURMET CHOCOLATE 5 LBS DYMATIZE,4,4,outofstock,instock,True,solo_status
13392,0,simple,810014671598,ZING CHELATE 120 CAPSULAS,2,2,outofstock,instock,True,solo_status
18874,18869,variation,745560722183,L CARNITINA 3500 FRUIT PONCHS IMPULSE,4,4,outofstock,instock,True,solo_status
