ID,SKU,Nombre,Stock_Nuevo,Stock_Actual_WC,Diferencia
18907,810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,8,4,4
18906,810390028313,ALPHA AMINO 30 SERV. ICY BLUE RAZZ CELLUCOR,16,11,5
18908,810390028344,ALPHA AMINO 30 SERV. WATERMELON CELLUCOR,15,9,6
19873,748927023190,AMINO ENERGY BLUE RASPBERRY 585G,99,101,-2
19849,748927062113,AMINO ENERGY BLUEBERRY LIMON 270 G,5,6,-1
19852,748927054002,AMINO ENERGY BLUEBERRY MOJITO 270 G,26,28,-2
19857,748927026658,AMINO ENERGY CONCOR GRAPE 270 G,14,15,-1
19874,748927023374,AMINO ENERGY FRUIT FUSION 585G,112,102,10
19855,748927051704,AMINO ENERGY GREEN APPLE 270 G,30,29,1
19847,748927059144,AMINO ENERGY JUICY STRAWBERRY 270 G,0,1,-1
19853,748927025255,AMINO ENERGY ORANGE 270 G,23,26,-3
19083,748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,335,362,-27
19084,748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,488,572,-84
19085,748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,181,236,-55
19088,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,497,539,-42
19086,748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,383,447,-64
19089,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,691,736,-45
19087,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,586,671,-85
11841,748927068238,AMINO ENERGY STRAWBERRY BURST + ELECTROLITOS 270 G,45,46,-1
19851,748927051698,AMINO ENERGY STRAWBERRY LIMON 270 G,33,34,-1
19848,748927069068,AMINO ENERGY TROPICAL SUNRISE 270 G,2,3,-1
19854,748927026672,AMINO ENERGY WATERMELON 270 G,151,152,-1
19875,748927051308,AMINO ENERGY WATERMELON 585G,98,99,-1
11842,748927060522,AMINO ENERGY WATERMELON SPLASH 270 G + ELECTROLITOS,42,43,-1
19850,748927063646,AMINO ENERGY WILD BERRY 270 G,1,2,-1
21120,608631655271,AMINO ESENCIAL 52 SERV. 520G BERRY ICE TEA IMPULSE,11,16,-5
21119,608631655288,AMINO ESENCIAL 52 SERVIN 20 GRAMOS PINK LEMONADE IMPULSE,3,5,-2
21121,703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,10,12,-2
19255,810121057995,AMINO K.E.M CITRUS CANDY- EVOGEN,7,8,-1
19262,817189024532,AMINO K.E.M SOUR WATERMELON- EVOGEN,8,9,-1
19260,817189025393,AMINO K.E.M TROPIC TUNDER-EVOGEN,10,11,-1
19959,799142775005,AMINO REVOLUTION + ELECTROLITROS COCONUT 30 SERVI-LANDERFIT,3,4,-1
11248,850030689016,ASHWAGANDHA KSM-66 REVIVE,26,30,-4
8688,859400007719,BCAA 6000 WATERMELON 30 SERV NUTREX,2,0,2
13370,810139572879,BERBERINA 60 CAPSULAS,66,0,66
