id,parent_id,tipo,sku,nombre,old_stock,new_stock,new_status,motivo
81,0,simple,713101732021,PROLIVE BIO6 PIÃA COLADA DE 6 LBS IMPULSE,0,0,outofstock,actualizacion_inventario
89,0,simple,713101732120,VEGANA ULTRA DE CHOCOLATE 3 LBS IMPULSE,0,0,outofstock,actualizacion_inventario
93,0,simple,745560722206,THERMOBLAST M5 (FAT BURNER) 120 CAPS (QUEMADOR HOMBRE) IMPULSE,4,3,outofstock,actualizacion_inventario
94,0,simple,745560722213,THERMOBLAST H2 (FAT BURNER) 120 CAPS (QUEMADOR MUJER) IMPULSE,6,6,outofstock,actualizacion_inventario
106,0,simple,745560722053,BCAA + GLUTAMINA 30 SERVS. 330G UVA (AMINO BCAA) IMPULSE,0,0,outofstock,actualizacion_inventario
107,0,simple,745560722084,BCAA + GLUTAMINE 30 SERV. 330G FRUIT PONCHS (AMINO BCAA) IMPULSE,0,0,outofstock,actualizacion_inventario
108,0,simple,745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",50,42,instock,actualizacion_inventario
109,0,simple,745560722022,"GLUTA MAX GLUTAMINA MICRONISADA, 80 SERV. 400G (UNFLAVORED) IMPULSE",18,18,instock,actualizacion_inventario
112,0,simple,703556204747,L-CARMITINE 3500MG W/ RASPB. KETONES & COLLAGEN NARANJA PIÃA IMPULSE,0,0,outofstock,actualizacion_inventario
128,0,simple,703556204808,COLAGENO DR. JOINT PROFESSIONAL JOINT SUPPORT TUTTI FRUTTI 52 SERV. IMPULSE,68,68,instock,actualizacion_inventario
140,0,simple,811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,112,111,instock,actualizacion_inventario
145,0,simple,834266006106,BSN SYNTHA 6 VANILLA 2.91 LBS (PROTEINA),0,0,outofstock,actualizacion_inventario
175,0,simple,842595106114,C4 ORIGINAL PINK LEMONADE 30 SERV (PRE-WORK) CELLUCOR,0,0,outofstock,actualizacion_inventario
229,0,simple,631656705737,MUSCLETECH ESSENTIAL SERIES PLATINIUM 100% CREATINA UNFLAVORED 400G,0,0,outofstock,actualizacion_inventario
245,0,simple,631656710519,NITRO TECH WHEY GOLD FRENCH VANILLA CREAM 5LBS MUSCLETECH,0,0,outofstock,actualizacion_inventario
254,0,simple,631656709445,NITRO TECH RIPPED CHOCOLATE FUDGE BROWNIE 2LBS MUSCLETECH,0,0,outofstock,actualizacion_inventario
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,2157,2022,instock,actualizacion_inventario
271,0,simple,850026029314,LIPO 6 BCCA WASTERMELO 30 SERV NUTREX,0,0,outofstock,actualizacion_inventario
296,0,simple,748927024128,GOLD STANDARD WEY FRENCH VAINILLA CREME 5 LBS,0,0,outofstock,actualizacion_inventario
299,0,simple,748927026825,AMINO ENERGY BLUE RASPBERRY 270 G,48,48,instock,actualizacion_inventario
316,0,simple,748927023800,PROTEINA ON SERIOUS MASS 12 LBS CHOCOLATE,0,0,outofstock,actualizacion_inventario
340,0,simple,6009544944645,PROTEINA ANABOLIC MASS WEIGHT GAINER CHOCOLATE (6LB) USN,0,0,outofstock,actualizacion_inventario
341,0,simple,6009544944560,PROTEINA ANABOLIC MASS GAINER CHOCOLATE 12 LBS USN,0,0,outofstock,actualizacion_inventario
342,0,simple,6009544944584,PROTEINA ANABOLIC MASS GAINER VAINILLA 12 LBS USN,0,0,outofstock,actualizacion_inventario
343,0,simple,6009544944621,PROTEINA ANABOLIC MASS GAINER COOKIS AND CREAM 12 LBS USN,0,0,outofstock,actualizacion_inventario
349,0,simple,6009544954132,PROTEINA BLUE LAB 100% WHEY CHOCOLATE 4.5LB USN,0,0,outofstock,actualizacion_inventario
350,0,simple,6009544954170,PROTEINA BLUE LAB 100% WHEY VAINILLA 4.5LB USN,0,0,outofstock,actualizacion_inventario
371,0,simple,6009544947608,L-ARGININE 1000MG 60 CAPS USN,0,0,outofstock,actualizacion_inventario
8521,0,simple,811213027094,PROTEINA BPI WHEY HD 4.2LB VANILLA CARAMEL,0,0,outofstock,actualizacion_inventario
8535,0,simple,811213027117,PROTEINA BPI WHEY HD 4.2LBS MILK AND COOKIES,0,0,outofstock,actualizacion_inventario
8539,0,simple,891597002672,PROTEINA 4LBS VANILLA CARAMEL CARNIVOR (MUSCLE MEDS),0,0,outofstock,actualizacion_inventario
8554,0,simple,891597002542,PROTEINA 4 LBS CHOCOLATE CARNIVOR (MUSCLE MEDS),62,60,instock,actualizacion_inventario
8555,0,simple,666222941004,XPEL CAPS (MHP),77,81,instock,actualizacion_inventario
8556,0,simple,631656603118,TETOSTERONA BUSTER SIX STAR MUSCLETECH,12,14,instock,actualizacion_inventario
8557,0,simple,842595106039,C4 ORIGINAL FRUIT PUNCH 30 SERV (PRE-WORK) CELLUCOR,0,0,outofstock,actualizacion_inventario
8559,0,simple,842595105063,C4 RIPPED ICY BLUE RAZZ 30 SERV (PRE-WORK) CELLUCOR,0,0,outofstock,actualizacion_inventario
8609,0,simple,705016599141,ISO 100 WHEY ELITE CHOCOLATE RICH 2 LB DYMATIZE,0,0,outofstock,actualizacion_inventario
