id,parent_id,tipo,sku,nombre,old_stock,new_stock,new_status,motivo
21121,21118,variation,703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,10,10,instock,inventario
21120,21118,variation,608631655271,AMINO ESENCIAL 52 SERV. 520G BERRY ICE TEA IMPULSE,11,11,instock,inventario
21119,21118,variation,608631655288,AMINO ESENCIAL 52 SERVIN 20 GRAMOS PINK LEMONADE IMPULSE,3,3,outofstock,inventario
20432,20430,variation,842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,55,55,instock,inventario
20431,20430,variation,842595106619,C4 PERFORMANCE ENERGY 16OZ ARCTIC SNOW CONE,65,66,instock,inventario
20478,20464,variation,842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,97,97,instock,inventario
20477,20464,variation,842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,67,67,instock,inventario
20476,20464,variation,842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,70,70,instock,inventario
20475,20464,variation,842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,269,269,instock,inventario
20474,20464,variation,842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,41,42,instock,inventario
20473,20464,variation,842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,97,97,instock,inventario
20472,20464,variation,842595121759,C4 PERFORMANCE ENERGY 16OZ STRAWBERRY BLAST,90,90,instock,inventario
20471,20464,variation,842595121766,C4 PERFORMANCE COSMIC RAINBOW,79,79,instock,inventario
20470,20464,variation,842595131253,C4 PERFORMANCE 16OZ CHERRY,106,106,instock,inventario
20469,20464,variation,842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,99,99,instock,inventario
20468,20464,variation,842595131628,C4 PERFORMANCE 16OZ CREAMISCLE,67,67,instock,inventario
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,3312,3325,instock,inventario
20466,20464,variation,842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,78,78,instock,inventario
20465,20464,variation,842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,111,111,instock,inventario
20449,20442,variation,842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,74,75,instock,inventario
20448,20442,variation,842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,74,74,instock,inventario
20447,20442,variation,842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,61,61,instock,inventario
20446,20442,variation,842595135541,C4 PERFORMANCE CHERRY BOMB FROST,63,64,instock,inventario
20445,20442,variation,842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,58,59,instock,inventario
19965,19963,variation,612590416651,REDS & GREENS PINA 30 SERVING- LANDERFIT,19,19,instock,inventario
19964,19963,variation,612590416675,REDS & GREENS GREEN APPLE 30 SERV- LANDERFIT,27,27,instock,inventario
19877,19871,variation,748927022940,AMINO ENERGY CONCOR GRAPE 585G,102,102,instock,inventario
19876,19871,variation,748927055351,AMINO ENERGY GREEN APPLE 585G,3,3,outofstock,inventario
19875,19871,variation,748927051308,AMINO ENERGY WATERMELON 585G,98,98,instock,inventario
19874,19871,variation,748927023374,AMINO ENERGY FRUIT FUSION 585G,112,112,instock,inventario
19873,19871,variation,748927023190,AMINO ENERGY BLUE RASPBERRY 585G,99,99,instock,inventario
19872,19871,variation,748927022902,AMINO ENERGY ORANGE 585G,71,71,instock,inventario
19857,19843,variation,748927026658,AMINO ENERGY CONCOR GRAPE 270 G,14,14,instock,inventario
19856,19843,variation,748927026665,AMINO ENERGY FRUIT FUSION 270 G,139,139,instock,inventario
19855,19843,variation,748927051704,AMINO ENERGY GREEN APPLE 270 G,30,30,instock,inventario
19854,19843,variation,748927026672,AMINO ENERGY WATERMELON 270 G,151,151,instock,inventario
19853,19843,variation,748927025255,AMINO ENERGY ORANGE 270 G,23,23,instock,inventario
19852,19843,variation,748927054002,AMINO ENERGY BLUEBERRY MOJITO 270 G,26,26,instock,inventario
19851,19843,variation,748927051698,AMINO ENERGY STRAWBERRY LIMON 270 G,33,33,instock,inventario
19850,19843,variation,748927063646,AMINO ENERGY WILD BERRY 270 G,1,1,outofstock,inventario
19849,19843,variation,748927062113,AMINO ENERGY BLUEBERRY LIMON 270 G,5,5,outofstock,inventario
19848,19843,variation,748927069068,AMINO ENERGY TROPICAL SUNRISE 270 G,2,2,outofstock,inventario
19847,19843,variation,748927059144,AMINO ENERGY JUICY STRAWBERRY 270 G,0,0,outofstock,inventario
19838,19835,variation,748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,54,54,instock,inventario
19837,19835,variation,748927028669,GOLD STANDARD WEY DOUBLE RICH CHOCOLATE 5 LBS,405,407,instock,inventario
19828,19826,variation,748927060140,GOLD STANDAR WHEY DOBLE RICH 1.47 LBS 22 SERVING,5,5,outofstock,inventario
19827,19826,variation,748927060133,GOLD STANDAR WHEY VAINILLA ICE CREAM 1.5 LBS 22 SERVING,8,8,instock,inventario
19819,19817,variation,748927028652,GOLD STANDAR WHEY VAINILLA ICE CREAN 1.98 LBS,31,32,instock,inventario
19818,19817,variation,748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,46,46,instock,inventario
19812,19810,variation,850046504662,WHEY 100% CHOLATE 10 LBS 128 SERVING NUTREX,14,14,instock,inventario
19811,19810,variation,850046504679,WHEY 100% VAINILLA 10 LBS 134 SERVING NUTREX,0,0,outofstock,inventario
19803,19800,variation,850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,29,29,instock,inventario
