Codigo,Nombre,Tipo,Grupo,Subgrupo,Almacen,Cant.,Apartados,Cant.Total,id,sku,stock,status,nombre,tipo,coincide
666222007984,ACTIVE TIME RELEASED SPORT (MHP),Producto,MHP,,BODEGA ATRIO,11,0,11,11831,666222007984,11,instock,Multivitamínico Deportivo Activite Sport - MHP - 120 Tabletas - Nutrición Completa y Energía Duradera,simple,True
810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,Producto,CELLUCOR,,BODEGA ATRIO,8,0,8,18907,810390028320,8,instock,Fruit Punch,variation,True
810390028313,ALPHA AMINO 30 SERV. ICY BLUE RAZZ CELLUCOR,Producto,CELLUCOR,,BODEGA ATRIO,16,0,16,18906,810390028313,16,instock,Icy Blue Razz,variation,True
810390028344,ALPHA AMINO 30 SERV. WATERMELON CELLUCOR,Producto,CELLUCOR,,BODEGA ATRIO,15,0,15,18908,810390028344,15,instock,Watermelon,variation,True
810014671666,ALPHA LIPOIC ACID 600 MG 120 CAPSULAS,Producto,NUTRICOST,,BODEGA ATRIO,12,0,12,13368,810014671666,12,instock,Alpha Lipoic Acid 600 mg - Nutricost - 120 Cápsulas - Antioxidante Potente y Mejora del Metabolismo,simple,True
748927026825,AMINO ENERGY BLUE RASPBERRY 270 G,Producto,OPTIMUM NUTRITION,,BODEGA ATRIO,48,0,48,299,748927026825,48,instock,Optimum Nutrition Amino Energy - Blue raspberry - 270 g - Energía y Recuperación Muscular,simple,True
748927023190,AMINO ENERGY BLUE RASPBERRY 585G,Producto,OPTIMUM NUTRITION,,BODEGA ATRIO,99,0,99,19873,748927023190,99,instock,Blue Raspberry,variation,True
748927062113,AMINO ENERGY BLUEBERRY LIMON 270 G,Producto,OPTIMUM NUTRITION,,BODEGA ATRIO,5,0,5,19849,748927062113,5,instock,BlueBerry Limon,variation,True
748927054002,AMINO ENERGY BLUEBERRY MOJITO 270 G,Producto,OPTIMUM NUTRITION,,BODEGA ATRIO,26,0,26,19852,748927054002,26,instock,Blueberry Mojito,variation,True
748927026658,AMINO ENERGY CONCOR GRAPE 270 G,Producto,OPTIMUM NUTRITION,,BODEGA ATRIO,14,0,14,19857,748927026658,14,instock,Concor Grape,variation,True
748927022940,AMINO ENERGY CONCOR GRAPE 585G,Producto,OPTIMUM NUTRITION,,BODEGA ATRIO,102,0,102,19877,748927022940,102,instock,Concord Grape,variation,True
748927026665,AMINO ENERGY FRUIT FUSION 270 G,Producto,OPTIMUM NUTRITION,,BODEGA ATRIO,139,0,139,19856,748927026665,139,instock,Fruit Fusion,variation,True
748927023374,AMINO ENERGY FRUIT FUSION 585G,Producto,OPTIMUM NUTRITION,,BODEGA ATRIO,112,0,112,19874,748927023374,112,instock,Fruit Fusion,variation,True
748927051704,AMINO ENERGY GREEN APPLE 270 G,Producto,OPTIMUM NUTRITION,,BODEGA ATRIO,30,0,30,19855,748927051704,30,instock,Green Apple,variation,True
